Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
در صورتی که,چنانچه,0,1,1,0,0,1,1
در غیر این صورت,و گرنه,0,1,1,0,0,1,1
در مجموع,روی هم رفته,0,1,1,0,0,1,1
محذور,تنگنا,0,1,1,0,0,1,1
در هر حال,به هر روی,0,1,1,0,0,1,1
در ارتباط با,درباره,0,1,1,0,0,1,1
در ضمن,همچنین,0,1,1,0,0,1,1
در قدیم,پیشترها,0,1,1,0,0,1,1
درک کردن,پی بردن,0,1,1,0,0,1,1
در کل,روی هم رفته,0,1,1,0,0,1,1
دسته جمعی,گروهی,0,1,1,0,0,1,1
دعوتنامه,فراخوانه,0,1,1,0,0,1,1
دفن کردن,خاکسپاری,0,1,1,0,0,1,1
دقیق,ریزبین,0,1,1,0,0,1,1
دلایل,انگیزه ها,0,1,1,0,0,1,1
دموکراسی,مردم سالاری,0,1,1,0,0,1,1
دنیا,گیتی,0,1,1,0,0,1,1
دور باطل,دور تباه,0,1,1,0,0,1,1
دیاگرام,نمودار,0,1,1,0,0,1,1
دیکتاتور,خودکامه,0,1,1,0,0,1,1
دیه,خون بها,0,1,1,0,0,1,1
ذخیره,اندوخته,0,1,1,0,0,1,1
ذره,خرده,0,1,1,0,0,1,1
ذیل,زیر,0,1,1,0,0,1,1
رئوس مطالب,سرنوشتارها,0,1,1,0,0,1,1
رئیس,سرپرست,0,1,1,0,0,1,1
